Separated,"4,200","3,365",164,80.1,2.0,"2,201",133,52.4,2.3,"1,865",129,44.4,2.4,342,49,8.1,1.1,42,17,1.0,0.4,"1,249",94,29.7,1.8,246,42,5.9,1.0,"1,050",87,25.0,1.8,60,21,1.4,0.5,835,92,19.9,2.0
Never Married,"65,475","54,976",608,84.0,0.5,"42,347",554,64.7,0.6,"36,318",551,55.5,0.7,"6,166",252,9.4,0.4,784,86,1.2,0.1,"14,142",346,21.6,0.5,"2,566",156,3.9,0.2,"12,208",318,18.6,0.5,456,69,0.7,0.1,"10,500",331,16.0,0.5
Residence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inside metropolitan statistical areas,"281,369","257,764","2,584",91.6,0.2,"191,539","2,141",68.1,0.4,"157,857","1,869",56.1,0.5,"29,736",733,10.6,0.2,"7,457",464,2.7,0.2,"93,410","1,507",33.2,0.4,"47,834",760,17.0,0.2,"49,061","1,047",17.4,0.3,"2,588",168,0.9,0.1,"23,605",592,8.4,0.2
.Inside principal cities,"104,716","94,638","1,825",90.4,0.4,"66,355","1,484",63.4,0.7,"54,675","1,301",52.2,0.8,"10,333",417,9.9,0.3,"2,645",294,2.5,0.3,"36,919",905,35.3,0.6,"16,406",482,15.7,0.4,"22,248",663,21.2,0.5,"1,000",107,1.0,0.1,"10,078",463,9.6,0.4
.Outside principal cities,"176,653","163,126","2,373",92.3,0.2,"125,185","1,934",70.9,0.5,"103,182","1,642",58.4,0.6,"19,403",620,11.0,0.3,"4,811",306,2.7,0.2,"56,491","1,263",32.0,0.5,"31,427",651,17.8,0.3,"26,812",920,15.2,0.4,"1,588",117,0.9,0.1,"13,527",446,7.7,0.2
Outside metropolitan statistical areas7,"42,300","38,442","2,404",90.9,0.7,"26,240","1,713",62.0,1.3,"20,493","1,343",48.4,1.2,"5,110",428,12.1,0.6,"1,080",246,2.6,0.6,"17,920","1,249",42.4,1.2,"9,886",699,23.4,0.7,"8,758",701,20.7,1.0,628,88,1.5,0.2,"3,857",397,9.1,0.7
Z represents zero or rounds to zero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1A margin of error (MOE) is a measure of an estimate's variability. The larger the MOE in relation to the size of the estimate, the less reliable the estimate. This number, when added to and subtracted from the estimate, forms the 90 percent confidence interval. MOEs shown in this table are based on standard errors calculated using replicate weights. For more information, see ""Standard Errors and Their Use"" at <www2.census.gov/library/publications/2018/demo/p60-264sa.pdf>.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2 Federal surveys give respondents the option of reporting more than one race. Therefore, two basic ways of defining a race group are possible. A group such as Asian may be defined as those who reported Asian and no other race (the race-alone or single-race concept) or as those who reported Asian regardless of whether they also reported another race (the race-alone-or-in-combination concept). This table shows data using the first approach (race alone). The use of the single-race population does not imply that it is the preferred method of presenting or analyzing data. The Census Bureau uses a variety of approaches. Information on people who reported more than one race, such as White and American Indian and Alaska Native or Asian and Black or African American, is available from the 2010 Census through American FactFinder. About 2.9 percent of people reported more than one race in the 2010 Census. Data for American Indians and Alaska Natives, Native Hawaiians and Other Pacific Islanders, and those reporting two or more races are not shown separately.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3Children under the age of 19 are eligible for Medicaid/CHIP.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4Children born after the reference year are not in universe.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 Individuals aged 19 to 25 years may be eligible to be a dependent on a parent's health insurance plan.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6The sum of those with and without a disability does not equal the total because disability status is not defined for individuals in the Armed Forces.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7The ""Outside metropolitan statistical areas"" category includes both micropolitan statistical areas and territory outside of metropolitan and micropolitan statistical areas.  For more information, see ""About Metropolitan and Micropolitan Statistical Areas"" at <www.census.gov/population/metro/about>.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source:  U.S. Census Bureau, Current Population Survey, 2019 Annual Social and Economic Supplement.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
