Table with row headers in column A and column headers in rows 7 through 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table H-01. Health Insurance Coverage Status and Type of Coverage by Selected Characteristics: 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Due to a processing error that affected the number of employees variable (NOEMP) in the 2020 CPS ASEC file, elements of this table have been revised.  For more information, see <https://www2.census.gov/programs-surveys/cps/techdocs/cpsmar20.pdf>.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For information on confidentiality protection, sampling error, nonsampling error, and definitions, see <https://www2.census.gov/programs-surveys/cps/techdocs/cpsmar20.pdf>.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 2020 Annual Social and Economic Supplement (CPS ASEC).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Numbers in thousands, margins of error in thousands or percentage points as appropriate. People as of March of the following year)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Persons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Characteristic,Total,Any health insurance,,,,Private health insurance,,,,,,,,,,,,,,,,Public health insurance,,,,,,,,,,,,,,,,Uninsured2,,,
,,,,,,Private total,,,,Employment-based,,,,Direct-purchase,,,,TRICARE,,,,Public total,,,,Medicare,,,,Medicaid,,,,VA or CHAMPVA,,,,,,,
Poor,"8,293","7,871",275,94.9,0.7,"2,800",169,33.8,1.7,"1,644",118,19.8,1.3,"1,020",104,12.3,1.1,226,46,2.7,0.5,"6,703",251,80.8,1.2,"4,981",203,60.1,1.6,"2,807",178,33.9,1.6,229,44,2.8,0.5,422,57,5.1,0.7
Marital Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"....Total, 19 to 64 years old","193,272","171,748",603,88.9,0.3,"143,887",747,74.4,0.4,"125,986",810,65.2,0.4,"15,987",502,8.3,0.3,"4,614",346,2.4,0.2,"33,178",613,17.2,0.3,"7,365",269,3.8,0.1,"26,653",555,13.8,0.3,"1,662",120,0.9,0.1,"21,523",537,11.1,0.3
Married,"100,795","93,166",799,92.4,0.3,"84,045",803,83.4,0.4,"74,212",787,73.6,0.5,"7,942",362,7.9,0.4,"3,552",306,3.5,0.3,"12,279",373,12.2,0.4,"2,843",159,2.8,0.2,"9,349",327,9.3,0.3,809,79,0.8,0.1,"7,629",310,7.6,0.3
Widowed,"3,319","2,872",150,86.5,1.7,"1,876",130,56.5,2.5,"1,485",118,44.7,2.5,374,52,11.3,1.4,55,20,1.6,0.6,"1,111",85,33.5,2.3,471,61,14.2,1.8,732,70,22.1,2.0,57,21,1.7,0.6,447,64,13.5,1.7
Divorced,"18,290","16,094",378,88.0,0.7,"12,335",345,67.4,1.0,"10,642",311,58.2,1.0,"1,625",121,8.9,0.6,225,40,1.2,0.2,"4,315",172,23.6,0.9,"1,304",98,7.1,0.5,"3,136",151,17.1,0.8,358,61,2.0,0.3,"2,196",140,12.0,0.7
Separated,"3,802","3,078",151,81.0,1.8,"1,971",127,51.8,2.2,"1,704",117,44.8,2.3,261,48,6.9,1.2,30,15,0.8,0.4,"1,194",84,31.4,1.9,302,52,7.9,1.3,989,83,26.0,2.0,53,23,1.4,0.6,724,78,19.0,1.8
Never Married,"67,065","56,537",633,84.3,0.5,"43,659",566,65.1,0.6,"37,942",539,56.6,0.7,"5,785",258,8.6,0.4,753,80,1.1,0.1,"14,278",396,21.3,0.5,"2,447",178,3.6,0.3,"12,447",363,18.6,0.5,385,64,0.6,0.1,"10,528",375,15.7,0.5
Residence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inside metropolitan statistical areas,"282,168","259,787","2,549",92.1,0.2,"194,412","2,152",68.9,0.4,"162,465","1,883",57.6,0.4,"27,817",797,9.9,0.3,"7,481",506,2.7,0.2,"92,613","1,336",32.8,0.3,"48,766",755,17.3,0.2,"47,097",946,16.7,0.3,"2,585",167,0.9,0.1,"22,381",667,7.9,0.2
..Inside principal cities,"104,632","94,571","1,846",90.4,0.4,"66,904","1,495",63.9,0.7,"56,312","1,292",53.8,0.7,"9,457",414,9.0,0.3,"2,438",261,2.3,0.2,"36,355",918,34.7,0.6,"16,736",479,16.0,0.4,"21,211",729,20.3,0.6,920,104,0.9,0.1,"10,062",451,9.6,0.4
..Outside principal cities,"177,536","165,217","2,396",93.1,0.3,"127,508","1,985",71.8,0.5,"106,153","1,749",59.8,0.5,"18,359",659,10.3,0.4,"5,043",383,2.8,0.2,"56,258","1,175",31.7,0.5,"32,029",702,18.0,0.3,"25,886",765,14.6,0.4,"1,666",139,0.9,0.1,"12,319",571,6.9,0.3
Outside metropolitan statistical areas 8,"42,382","38,651","2,460",91.2,0.6,"26,435","1,680",62.4,1.1,"20,540","1,333",48.5,1.2,"5,354",434,12.6,0.6,"1,052",224,2.5,0.5,"18,074","1,281",42.6,1.1,"10,013",709,23.6,0.8,"8,755",756,20.7,1.0,636,97,1.5,0.2,"3,730",355,8.8,0.6
"1 A margin of error (MOE) is a measure of an estimate's variability. The larger the MOE in relation to the size of the estimate, the less reliable the estimate. This number, when added to and subtracted from the estimate, forms the 90 percent confidence interval.
MOEs shown in this table are based on standard errors calculated using replicate weights.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2 In the CPS ASEC, persons are considered to be uninsured if they were uninsured for the entire year.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3 Federal surveys now give respondents the option of reporting more than one race. Therefore, two basic ways of defining a race group are possible. A group such as Asian may be defined as those who reported Asian and no other race (the race-alone
or single-race concept) or as those who reported Asian regardless of whether they also reported another race (the race-alone-or-in-combination concept). This table shows data using the first approach (race alone). The use of the single-race population
does not imply that it is the preferred method of presenting or analyzing data.  The Census Bureau uses a variety of approaches. Data for American Indians and Alaska Natives, Native Hawaiians and Other Pacific Islanders,
and those reporting two or more races are not shown separately.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 Children under the age of 19 are eligible for Medicaid/CHIP.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 Children born after the reference year are not in universe.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 This age group is of special interest because of the Affordable Care Act's dependent coverage provision. Individuals aged 19 to 25 years may be eligible to be a dependent on a parent's health insurance plan.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 The sum of those with and without a disability does not equal the total because disability status is not defined for individuals in the U.S. armed forces.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8 The ""Outside metropolitan statistical areas"" category includes both micropolitan statistical areas and territory outside of metropolitan and micropolitan statistical areas. For more information, see ""About Metropolitan and Micropolitan Statistical Areas"" at
<www.census.gov/programs-surveys/metro-micro.html>.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
