Table with row headers in column A and column headers in rows 7 through 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table H-01. Health Insurance Coverage Status and Type of Coverage by Selected Characteristics for All People: 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Information on confidentiality protection, sampling error, nonsampling error, and definitions is available at <https://www2.census.gov/programs-surveys/cps/techdocs/cpsmar22.pdf>.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 2022 Annual Social and Economic Supplement (CPS ASEC).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Numbers in thousands, margins of error in thousands or percentage points as appropriate. People as of March of the following year)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Persons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Characteristic,Total,Any health insurance,,,,Private health insurance,,,,,,,,,,,,,,,,Public health insurance,,,,,,,,,,,,,,,,Uninsured2,,,
,,,,,,Private total,,,,Employment-based,,,,Direct-purchase,,,,TRICARE,,,,Public total,,,,Medicare,,,,Medicaid,,,,VA or CHAMPVA,,,,,,,
"....Total, 19 to 64 years old","194,855","172,209",600,88.4,0.3,"141,344",710,72.5,0.4,"122,488",805,62.9,0.4,"17,034",505,8.7,0.3,"4,592",348,2.4,0.2,"36,483",608,18.7,0.3,"7,383",308,3.8,0.2,"30,071",562,15.4,0.3,"1,789",141,0.9,0.1,"22,646",591,11.6,0.3
Married,"99,078","91,013",847,91.9,0.3,"80,941",821,81.7,0.5,"71,232",803,71.9,0.6,"8,096",354,8.2,0.3,"3,252",285,3.3,0.3,"13,306",368,13.4,0.4,"2,404",152,2.4,0.2,"10,730",345,10.8,0.3,872,102,0.9,0.1,"8,065",350,8.1,0.3
Widowed,"3,267","2,865",163,87.7,1.6,"1,816",139,55.6,2.5,"1,409",121,43.1,2.5,368,57,11.3,1.6,90,27,2.7,0.8,"1,180",92,36.1,2.4,481,68,14.7,2.0,813,76,24.9,2.1,69,25,2.1,0.8,402,54,12.3,1.6
Divorced,"18,138","15,865",373,87.5,0.7,"11,694",320,64.5,1.1,"9,729",300,53.6,1.2,"1,836",132,10.1,0.7,349,60,1.9,0.3,"4,688",237,25.8,1.1,"1,423",130,7.8,0.7,"3,482",197,19.2,1.0,397,59,2.2,0.3,"2,273",140,12.5,0.7
Separated,"3,898","3,158",168,81.0,2.1,"2,147",147,55.1,2.6,"1,794",133,46.0,2.4,324,49,8.3,1.2,52,20,1.3,0.5,"1,134",99,29.1,2.3,240,46,6.2,1.1,925,88,23.7,2.2,49,21,1.3,0.5,739,89,19.0,2.1
Never Married,"70,474","59,307",695,84.2,0.5,"44,746",596,63.5,0.6,"38,325",572,54.4,0.6,"6,410",271,9.1,0.4,849,98,1.2,0.1,"16,175",411,23.0,0.5,"2,834",193,4.0,0.3,"14,121",382,20.0,0.5,402,64,0.6,0.1,"11,166",373,15.8,0.5
Residence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inside metropolitan statistical areas,"285,654","261,950","2,579",91.7,0.2,"190,206","1,935",66.6,0.4,"157,860","1,672",55.3,0.4,"28,562",767,10.0,0.2,"7,010",470,2.5,0.2,"98,802","1,537",34.6,0.3,"50,078",768,17.5,0.2,"52,744","1,059",18.5,0.3,"2,572",173,0.9,0.1,"23,704",729,8.3,0.2
..Inside principal cities,"104,508","94,283","1,906",90.2,0.4,"64,289","1,483",61.5,0.8,"53,656","1,249",51.3,0.8,"9,694",447,9.3,0.4,"2,161",227,2.1,0.2,"38,539","1,031",36.9,0.7,"17,218",522,16.5,0.4,"23,142",814,22.1,0.6,865,99,0.8,0.1,"10,226",454,9.8,0.4
..Outside principal cities,"181,145","167,667","2,387",92.6,0.3,"125,917","1,886",69.5,0.5,"104,203","1,602",57.5,0.6,"18,868",673,10.4,0.3,"4,848",372,2.7,0.2,"60,263","1,255",33.3,0.5,"32,861",697,18.1,0.3,"29,602",845,16.3,0.4,"1,707",136,0.9,0.1,"13,479",586,7.4,0.3
Outside metropolitan statistical areas 8,"42,420","38,938","2,451",91.8,0.6,"26,160","1,687",61.7,1.2,"20,425","1,321",48.1,1.1,"4,993",407,11.8,0.6,"1,289",241,3.0,0.5,"18,293","1,275",43.1,1.1,"10,147",716,23.9,0.7,"9,196",718,21.7,1.0,579,100,1.4,0.2,"3,483",331,8.2,0.6
Z Rounds to zero.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 A margin of error (MOE) is a measure of an estimate's variability. The larger the MOE in relation to the size of the estimate, the less reliable the estimate. This number, when added to and subtracted from the estimate, forms the 90 percent confidence interval.
MOEs shown in this table are based on standard errors calculated using replicate weights.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2 In the CPS ASEC, persons are considered to be uninsured if they were uninsured for the entire year.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3 Federal surveys give respondents the option of reporting more than one race. Therefore, two basic ways of defining a race group are possible. A group such as Asian may be defined as those who reported Asian and no other race (the race-alone
or single-race concept) or as those who reported Asian regardless of whether they also reported another race (the race-alone-or-in-combination concept). This table shows data using the first approach (race alone). The use of the single-race population
does not imply that it is the preferred method of presenting or analyzing data.  The Census Bureau uses a variety of approaches. Data for American Indians and Alaska Natives, Native Hawaiians and Other Pacific Islanders,
and those reporting two or more races are not shown separately.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 Children under the age of 19 are eligible for Medicaid/CHIP.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 Children born after the reference year are not in universe.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 This age group is of special interest because of the Affordable Care Act's dependent coverage provision. Individuals aged 19 to 25 years may be eligible to be a dependent on a parent's health insurance plan.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 The sum of those with and without a disability does not equal the total because disability status is not defined for individuals in the U.S. armed forces.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8 The ""Outside metropolitan statistical areas"" category includes both micropolitan statistical areas and territory outside of metropolitan and micropolitan statistical areas. For more information, see ""About Metropolitan and Micropolitan Statistical Areas"" at
<www.census.gov/programs-surveys/metro-micro.html>.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
